City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,18.22,82,20,5.81,PT,1706896951
1,valparaiso,-33.0393,-71.6273,38.41,35,8,6.69,CL,1706896804
2,port-aux-francais,-49.35,70.2167,8.07,96,92,7.32,TF,1706896951
3,adamstown,-25.066,-130.1015,24.63,84,33,4.95,PN,1706896951
4,afaahiti,-17.75,-149.2833,27.93,72,85,4.48,PF,1706896952
5,yellowknife,62.456,-114.3525,-10.95,89,100,3.09,CA,1706896852
6,qaqortoq,60.7167,-46.0333,-14.47,73,98,0.36,GL,1706896952
7,carbonear,47.7332,-53.2148,0.64,78,100,2.95,CA,1706896952
8,albany,42.6001,-73.9662,3.82,77,100,1.34,US,1706896803
9,tangalle,6.024,80.7911,24.89,89,63,4.39,LK,1706896953
10,margaret river,-33.95,115.0667,17.68,93,53,3.29,AU,1706896953
11,sonoita,31.85,-112.8333,13.16,54,12,6.17,MX,1706896953
12,buncrana,55.1333,-7.45,12.87,87,100,8.74,IE,1706896954
13,muravlenko,63.7898,74.523,-16.08,96,100,4.24,RU,1706896954
14,grytviken,-54.2811,-36.5092,7.65,54,88,7.61,GS,1706896758
15,kiunga,-6.1219,141.2906,23.89,98,86,0.88,PG,1706896954
16,lerwick,60.1545,-1.1494,10.0,80,99,15.02,GB,1706896955
17,saint-philippe,-21.3585,55.7679,24.77,83,57,6.72,RE,1706896955
18,karaton,-6.3424,106.1045,24.38,92,100,2.2,ID,1706896955
19,swift current,50.2834,-107.8014,4.45,81,0,4.63,CA,1706896955
20,ilulissat,69.2167,-51.1,-21.99,64,75,7.2,GL,1706896956
21,utrik,11.2278,169.8474,26.16,87,100,10.27,MH,1706896956
22,dunedin,-45.8742,170.5036,8.78,77,73,1.93,NZ,1706896956
23,bredasdorp,-34.5322,20.0403,23.05,78,27,3.06,ZA,1706896957
24,enewetak,11.3474,162.3373,26.48,83,57,10.59,MH,1706896957
25,san patricio,28.017,-97.5169,23.92,68,27,7.88,US,1706896957
26,grande prairie,55.1667,-118.8027,-1.9,100,75,2.06,CA,1706896929
27,carnarvon,-24.8667,113.6333,24.35,82,4,4.19,AU,1706896958
28,jayapura,-2.5333,140.7,24.66,89,99,1.8,ID,1706896958
29,saint-leu,-21.15,55.2833,24.48,79,47,6.05,RE,1706896958
30,aykhal,66.0,111.5,-27.06,69,82,1.82,RU,1706896958
31,horki,54.2861,30.9842,-2.3,88,99,6.63,BY,1706896959
